"b_nr","generalite","autor","titel","publikation","band","jahr","seiten","ort","ae","zu_ae","cil","sonstigeCorpora","bearbeiter","datum"
"B000126","N","Billanovich, M.P.","Le antiche iscrizioni latine conservate nell'Università Cattolica di Milano.","Epigraphica","41","1979","158-167","","1982, 0404; 1982, 0405; 1982, 0406; 1982, 0407; 1982, 0408; 1982, 0409; 1984, 0741.","","","","Hildebrandt","2004-08-17"
"B000127","N","Bingen, J.","Inscriptions de l'Ouadi Mahamid (Elkab).","CE","56","1981","105-110","","1982, 0914.","","","","Feraudi","2018-07-12"
"B000128","N","Bingen, J.","Une dédicace de marchands palmyréniens à Coptos.","CE","59","1984","355-358","","1984, 0925; 1912, 0171.","","","","Hildebrandt","2004-10-19"
"B000129","N","Bingen, J.","Notes d'épigraphie grecque. III.","CE","56","1981","341-346","","1982, 0915.","","","","Feraudi","2018-07-12"
"B000130","J","Birardi, M.A.","Strati sociali a Canusium nella documentazione del CIL 9. Ricerca onomastica.","AFLB","23","1980","197-219","","1983, 0266.","","","","Hildebrandt","2004-10-19"
"B000131","N","Birks, P. - Rodger, A. - Richardson, J.S.","Further aspects of the Tabula Contrebiensis.","JRS","74","1984","45-73","","1984, 0586; 1983, 0602; 1979, 0377.","","","","Feraudi","2004-12-03"
"B000132","J","Birley, A.R.","The Fasti of Roman Britain.","","","1981","476","Oxford","1982, 0652; 1980, 0445.","","","","Feraudi","2004-12-03"
"B000133","N","Birley, A.R.","An altar from Bremenium.","ZPE","43","1981","13-23","","1982, 0654.","","","RIB 1273.","Gräf","2004-11-09"
"B000134","N","Birley, E.","A Roman altar from Old Kilpatrick and Interim Commanders of Auxiliary Units.","Latomus","42","1983","73-83","","1983, 0642; 1971, 0226.","","","","Feraudi","2004-10-05"
"B000135","N","Bisconti, F.","Un nuovo coperchio di sarcofago dal cimitero di Novaziano.","RAC","59","1983","61-85","","1983, 0075.","","","","Feraudi","2004-10-05"
"B000136","J","Blanc, N.","Les stucateurs romains. Témoignages littéraires, épigraphiques et juridiques.","MEFR","95","1983","859-905","","1983, 0015.","","","","Grimmig","2004-08-02"
"B000137","N","Blanchet, A.","Carte archéologique de la Gaule romaine. Forma Orbis Romani VIL.","","","1937","14-15","Paris","1983, 0647; 1983, 0667; 1983, 0668.","","","","Gräf","2004-12-08"
"B000138","N","Blanco Freijeiro, A.","Nuevas inscripciones latinas de Italica.","BAHist","180","1983","1-20","","1983, 0519; 1983, 0520; 1983, 0521; 1983, 0522; 1982, 0520; 1982, 0521.","","","","Grimmig","2005-03-21"
"B000139","J","Blanco Freijeiro, A. - Arce, J.","Homenaje a Sáenz de Buruaga.","","","1982","438","","1982, 0450.","","","","Feraudi","2004-12-03"
"B000140","N","Blanco Freijeiro, A.","Nuevas inscripciones latinas de Mérida.","BAHist","180","1983","235-243","","1983, 0487; 1983, 0488.","","","","Grimmig","2005-03-21"
"B000141","N","Blázquez Martínez, J.M.","Ultimas aportaciones a los problemas de la producción y comercio del aceite en la antigüedad.","In: Producción y comercio del aceite en la Antigüedad. Segundo Congreso Internacional, Sevilla 1982.","","1983","19-99","Madrid","1983, 0458.","1983, 0458.","","","Grimmig","2004-11-03"
"B000142","N","Fernández Gómez, F.","El santuario de Postoloboso (Candeleda, Ávila).","NotAHisp","2","1973","173-270","","1976, 0343; 1976, 0344; 1976, 0345; 1976, 0346; 1976, 0347; 1976, 0348; 1976, 0349.","","","","Feraudi","2004-12-07"
"B000143","N","Bloch, H.","The funerary inscription of the physician of Caecilia Crassi in the Fogg Art Museum.","HSPh","86","1982","141-150","","1984, 0047.","","06, 37380.","","Feraudi","2018-07-12"
"B000144","N","Bloemers, J.H.F.","Archeologische kroniek van Limburg over de jaren 1975 en 1976.","PublLim","113","1976","7-33","","1983, 0723.","","","","Feraudi","2018-07-12"
"B000145","N","Blondel, L.","Chronique archéologique pour 1948.","Genava","27","1949","17-31","","1983, 0680.","","","","Admin","2002-04-26"
"B000146","N","Boffo, L.","Iscrizione latina inedita da Bedriacum.","Epigraphica","42","1980","187-190","","1984, 0431.","","","","Admin","2002-04-26"
"B000147","N","Boffo, L.","Iscrizioni latine dell' Otrepò Pavese.","RAComo","161","1979","173-213","","1982, 0360; 1982, 0361; 1982, 0362; 1982, 0363; 1982, 0364; 1982, 0365.","","","","Feraudi","2018-07-12"
"B000148","N","Bogaers, J.E.","Dertien letters op een bronzen plaat.","Brabants Heem","33","1981","50-57","","1982, 0725.","","","","Admin","2002-04-26"
"B000149","N","Bogaers, J.E.","Zum Namen des ""oppidum Cugernorum''.","Naamkunde","16","1984","33-39","","1984, 0650; 1981, 0690.","","","","Hildebrandt","2004-10-19"
"B000150","N","Bogaers, J.E.","Foreign affairs.","In: B. Hartley - J. Wacher (Hrsg.), Rome and her northern provinces.","","1983","13-32","Gloucester","1983, 0643; 1983, 0720; 1983, 0721; 1983, 0722.","","","","Gräf","2013-05-17"
"B000151","N","Bogaers, J.E.","Zum Geheimnis von Hildesheim.","BABesch","57","1982","182-187","","1982, 0721.","","13, 10036, 16.","","Feraudi","2018-07-12"
"B000152","N","Bojanovski, I.","Sclucajni arheološki nalazi s Podrucja Domavije I. (Mit deutscher Zusammenfassung)","Članci","14","1982","137-153","","1983, 0745; 1983, 0746.","","","","Gräf","2008-09-15"
"B000153","J","Bojanovski, I.","Prilozi za topografiju rimskih i predrimskih komunikacija i našelja u rimskoj provinciji Dalmaciji.","GodAkSarajevo","19","1981","125-197","","1983, 0732.","","","","Feraudi","2004-12-03"
"B000154","N","Bona López, I.J.","Una ara de Valdearcos (Tarazona).","FichEpigr","8","1984","11-12","","1984, 0582.","","","","Feraudi","2018-07-12"
"B000155","J","Bonello Lai, M.","Sulla cronologia di alcuni iuridici alla luce dei più recenti rinvenimenti epigrafici.","AFLC","38","1976/77","57-78","","1982, 0018.","","","","Hildebrandt","2004-10-19"
"B000156","N","Bonfioli, M.","Aquileia e Grado. Nuove testimonianze epigrafiche.","In: Atti del IX Congresso Internazionale di Archeologia Cristiana, Roma 1975","2","1978","89-103","Roma","1982, 0384; 1982, 0386; 1982, 0388; 1982, 0389.","","","","Gräf","2011-06-14"
"B000157","N","Boninu, A.","Testimonianze di età romana nel territorio di Dorgali.","In: Dorgali. Documenti archeologici.","","1980","221-239","Sassari","1983, 0449; 1983, 0450.","","","","Gräf","2011-09-15"
"B000158","N","Boninu, A.","Documenti epigrafici della collezione Spano.","In: Contributi su Giovanni Spano 1803-1878.","","1979","99-113","Sassari","1983, 0451; 1983, 0447.","","","","Feraudi","2018-07-12"
"B000159","N","Boninu, A. - Stylow, A.U.","Miliari nuovi e vecchi della Sardegna.","Epigraphica","44","1982","29-56","","1984, 0444; 1984, 0445; 1984, 0446; 1984, 0447; 1984, 0448; 1984, 0449.","","","","Hildebrandt","2004-08-17"
"B000160","N","Bonneville, J.-N.","Remarques sur l'indication de l'origo par la tribu et le toponyme après des tria nomina sans filiation.","MCV","18","1982","5-32","","1982, 0647.","","","","Admin","2002-04-26"
"B000161","J","Bonneville, J.-N.","Les inscriptions imperiales de Barcino (Barcelone). Un reflet de l'histoire de la colonie.","In: Homenaje a Sáenz de Buruaga.","","1982","365-388","Madrid","1982, 0565.","","","","Feraudi","2004-12-03"
"B000162","N","Bonneville, J.-N. - Didierjean, F. - Dupré, N.","La dix-huitième campagne de fouilles de la Casa de Velázquez à Belo en 1983. Bolonia, province de Cádiz.","MCV","20","1984","439-486","","1984, 0530; 1984, 0531.","","","","Feraudi","2004-12-01"
"B000163","J","Bonneville, J.-N. - Étiennne, R. - Rouillard, P.","Les villes romaines de la Péninsule ibérique.","In: Les villes dans le Monde ibérique. Actes du colloque de Talence 1980.","","1982","11-23","Paris","1983, 0462.","","","","Gräf","2004-12-06"
"B000164","N","Bonvicini, P.","Falerone. Iscrizioni romane inedite.","NSA","12","1958","73-76","","1982, 0236; 1960, 0255; 1960, 0256; 1960, 0257; 1960, 0258.","","","","Feraudi","2004-12-03"
"B000165","N","Bortlik, J.","Neue Inschriftsteine vom Gräberfelde westlich des Lagers.","RLŒ","16","1926","1-52","","1983, 0757; 1983, 0761; 1983, 0762; 1983, 0763; 1929, 0185; 1929, 0186; 1929, 0187; 1929, 0188; 1929, 0189; 1929, 0190; 1929, 0191; 1929, 0192; 1929, 0193; 1929, 0194; 1929, 0195; 1929, 0196; 1929, 0197; 1929, 0198; 1929, 0199; 1929, 0200; 1929, 0201; 1929, 0202; 1929, 0203; 1929, 0204; 1929, 0205; 1929, 0206; 1929, 0207; 1929, 0208; 1929, 0209; 1929, 0210; 1929, 0211; 1929, 0212; 1929, 0213; 1929, 0214; 1929, 0215; 1929, 0216; 1929, 0217.","1983, 0758; 1983, 0759; 1983, 0760; 1983, 0763.","","","Osnabrügge","2016-08-03"
"B000166","J","Bost, J.-P. - Fabre, G.","Quelques problèmes d'histoire dans deux cités de l'époque gallo-romaine.","Aquitania","1","1983","25-36","","1983, 0691.","","13, 08894.","","Feraudi","2009-03-12"
"B000167","N","Polverini, L.","Militari.","In: G. Barbieri (Hrsg.), Il lapidario Zeri di Mentana.","","1982","87-107","Roma","1983, 0048; 1983, 0049; 1983, 0050; 1983, 0051; 1983, 0052; 1983, 0053; 1983, 0054; 1983, 0055; 1983, 0056; 1983, 0057; 1983, 0058; 1983, 0059.","","","","Gräf","2004-11-26"
"B000168","N","Boube, J.","Sala. Notes d'épigraphie.","BAM","12","1979/80","111-137","","1983, 0996; 1983, 0997; 1983, 0998.","","","IAM 2, 304a.","Feraudi","2018-07-12"
"B000169","J","Boube, J.","Marques de potiers italiques trouvées au Maroc.","BAM","14","1981/82","135-168","","1983, 0999.","","","","Hildebrandt","2004-10-19"
"B000170","J","Boube, J.","La céramique italique à Sala. Les marques de potiers.","BAM","12","1979/80","139-215","","1983, 0999.","","","","Admin","2002-04-26"
"B000171","N","Boube, J.","A propos d'un décurion de cinq ans.","BAM","12","1979/80","83-97","","1983, 0995; 1931, 0056.","","","","Feraudi","2018-07-12"
"B000172","N","Bouchenal, M.","A propos de la confédération cirtéene.","In: 150-Jahr-Feier Deutsches Archäologisches Institut Rom, Rom 1979, MDAI(R) (Ergh.)","25","1982","170-179","Mainz","1982, 0954.","","","","Gräf","2004-11-10"
"B000173","N","Boucher, S.","L'inscription d'Entrains CIL XIII 2903 et l'apparition du culte d'Epona en Gaule au Ier siècle de notre ère.","In: H. Walter (Hrsg.), Hommage à Lucien Lerat.","","1984","131-133","Paris","1984, 0640.","","13, 02903.","","Gräf","2004-12-06"
"B000174","N","Boulvert, G.","La carrière de Tiberius Claudius Augusti libertus Classicus (AE 1972, 574).","ZPE","43","1981","31-41","","1982, 0862; 1972, 0574.","","","","Imhoff","2004-10-13"
"B000175","N","Bove, L.","Documenti processuali dalle Tabulae Pompeianae di Murecine.","","","1979","147","Napoli","1984, 0225; 1982, 0183; 1986, 0186.","","","","Gräf","2004-09-20"
"B000176","N","Bowersock, G.W.","Zu: A. Spijkerman, The coins of the Decapolis and provincia Arabia (Jerusalem 1978).","JRS","72","1982","197-198","","1982, 0904.","","","","Gräf","2004-12-09"
"B000177","J","Bowman, A.K. - Thomas, J.D.","Vindolanda. The Latin writing-tablets.","","","1983","157","London","1984, 0626.","","","","Gräf","2005-01-20"
"B000178","N","Bremmer, J.","The Suodales of Poplios Valesios.","ZPE","47","1982","133-147","","1982, 0161; 1981, 0189; 1979, 0136.","","","","Feraudi","2004-10-05"
"B000179","J","Brennan, P.","Diocletian and the Goths.","Phoenix","38","1984","142-146","","1984, 0007.","","","","Hildebrandt","2004-10-19"
"B000180","N","Broccoli, U.","Ricerche su Gregoriopoli. Materiali e nuove acquisizioni per la storia del borgo di Ostia antica del medioevo.","QuadStAEtrIt","7","1983","170-175","","1983, 0097.","","","","Imhoff","2004-10-13"
"B000181","N","Brochado de Almeida, C.A. - Alves Plácido, M.","A estela funeraria romana da Quinta de S. Jorge.","Archeologia","7","1983","48-51","","1983, 0584.","","","","Admin","2002-04-26"
"B000182","N","Brochado de Almeida, C.A.","Uma ara a Hércules.","Portugalia","2/3","1981/82","167-171","","1983, 0587.","","","","Admin","2002-04-26"
"B000183","N","Broise, P.","Albens dans l'Antiquité.","MemAcSavoie","12","1981","73-84","","1982, 0697.","","","","Grimmig","2005-03-02"
"B000184","J","Brunt, P.A.","Princeps and equites.","JRS","73","1983","42-75","","1983, 0008.","","","","Hildebrandt","2004-10-19"
"B000185","N","Brusin, G.","Gli scavi di Aquileia. Un quadriennio di attività dell'associazione nazionale per Aquileia (1929-1932).","","","1934","253","","1982, 0385; 1982, 0382; 1934, 0230; 1934, 0231; 1934, 0232; 1934, 0233; 1934, 0234; 1934, 0235; 1934, 0236; 1934, 0237; 1934, 0238; 1934, 0239; 1934, 0240; 1934, 0241; 1934, 0242; 1934, 0243; 1934, 0244; 1934, 0245; 1934, 0246; 1934, 0247.","","","","Hildebrandt","2004-09-23"
"B000186","N","Brusin, G.","Epigrafe aquileiese col ""Refrigerium"".","In: Miscellanea Pio Paschini. Studi di storia ecclesiastica.","","1948/49","69-76","Roma","1982, 0383.","","","","Gräf","2004-12-01"
"B000187","N","Buchi, E.","Nuove testimonianze degli Anauni.","StTrentStor","59","1980","85-97","","1983, 0439.","","","","Admin","2002-04-26"
"B000188","N","Buócz, T.","Ismeretlen római feliratos kő Ostffyasszonyfáról. (Mit deutscher Zusammenfassung)","Savaria","11/12","1977/78","165-176","","1984, 0723.","","","TRHR (Suppl.) 027.","Gräf","2016-04-20"
"B000189","J","Buonocore, M.","Nomina peligni.","In: MGR","9","1984","179-218","Roma","1984, 0273.","","","","Hildebrandt","2004-10-19"
"B000190","N","Buonocore, M.","Varia epigraphica abruzzesi.","In: MGR","9","1984","227-271","Roma","1984, 0279; 1984, 0280.","1937, 0119; 1937, 0120; 1937, 0121; 1980, 0377; 1981, 0297.","","","Gräf","2011-06-14"
"B000191","N","Buonocore, M.","Le iscrizioni latine di Iuvanum e Cluviae Carricinorum conservate nel Museo Nazionale di Chieti.","Samnium","57","1984","43-68","","1984, 0355; 1984, 0356; 1984, 0364.","","","","Imhoff","2004-10-13"
"B000192","N","Buonocore, M.","Ricognizione epigrafica nel territorio di Superaequum.","ZPE","56","1984","243-259","","1984, 0284; 1984, 0286; 1984, 0290; 1984, 0291; 1984, 0292; 1984, 0293; 1984, 0295; 1988, 0443; 1988, 0444; 1988, 0445; 1988, 0446; 1988, 0447; 1988, 0448; 1988, 0449; 1988, 0450; 1988, 0451; 1988, 0452; 1988, 0453; 1988, 0454; 1988, 0455; 1988, 0456; 1988, 0457.","","","","Hildebrandt","2004-08-17"
"B000193","N","Buonocore, M.","Schiavi e liberti dei Volusi Saturnini. Le iscrizioni del colombario sulla via Appia antica.","","","1984","290 S.","Roma","","1978, 0017.","06, 41079.","","Gräf","2009-02-26"
"B000194","N","Buonocore, M.","Nuovi documenti epigrafici abruzzesi.","StudRomagn","30","1982","366-372","","1984, 0359; 1984, 0360; 1984, 0370; 1984, 0371.","","","","Hildebrandt","2004-08-17"
"B000195","N","Buonocore, M.","Vecchie e nuove iscrizioni da Interpomium.","MEFR","96","1984","239-257","","1984, 0343; 1984, 0344; 1984, 0345; 1984, 0346; 1984, 0347; 1984, 0348; 1984, 0349; 1984, 0350.","","","","Hildebrandt","2004-08-17"
"B000196","N","Buonocore, M.","Un nuovo milliario della via Valeria in territorio equo.","AC","52","1983","279-283","","1984, 0361.","","","","Admin","2002-04-26"
"B000197","N","Buonocore, M.","Supplemento al CIL IX. Iscrizione latine inedite del Museo Nazionale di Chieti.","Epigraphica","44","1982","169-188","","1984, 0356; 1984, 0334; 1984, 0353; 1984, 0354; 1984, 0362; 1984, 0341; 1984, 0342; 1984, 0281; 1984, 0319.","","","","Imhoff","2004-10-15"
"B000198","N","Buonocore, M.","Regio IV - Sabina et Samnium. Teate Marrucinorum.","SupplIt","2","1983","145-194","Roma","1984, 0335; 1984, 0336; 1984, 0337; 1984, 0338; 1984, 0339; 1984, 0340; 1980, 0368; 1980, 0370; 1980, 0371; 1980, 0372; 1976, 0191; 1947, 0039; 1947, 0040; 1947, 0041; 1941, 0105.","","","","Feraudi","2019-11-06"
"B000199","N","Buonocore, M.","Tor Marancia. Analisi storico-topografica.","In: MGR","8","1982","351-393","Roma","1982, 0079; 1982, 0080; 1982, 0081.","","","","Imhoff","2004-10-13"
"B000200","J","Buonocore, M.","Monumenti funerari romani con decorazione ad Alba Fucens.","MEFR","94","1982","715-741","","1982, 0231.","","","","Grimmig","2004-08-02"
"B000201","N","Buonopane, A.","Dedica veronese a Minerva.","Epigraphica","43","1981","258-261","","1982, 0397.","","","","Admin","2002-04-26"
"B000202","N","Buonopane, A.","Un cippo iconico inscritto dall'agro veronese.","StudStorVeron","30/31","1980/81","283-289","","1982, 0398.","","","","Grimmig","2004-09-20"
"B000203","N","Donati, A.","Una dedica ad Ercole e problema dell'epigrafia latina della Val di Non.","RSA","6/7","1976/77","215-220","","1977, 0286.","","","","Feraudi","2004-12-07"
"B000204","N","Buonopane, A.","Iter precarium in una iscrizione inedita da Garda.","Epigraphica","41","1979","156-158","","1982, 0399.","","","","Gräf","2015-04-13"
"B000205","N","Buonopane, A.","Sulla genuinità di una dedica a Giove in Valpolicella.","AV","122","1984","101-105","","1984, 0428.","","05, 00420*.","","Feraudi","2019-12-30"
"B000206","N","Buonopane, A.","Una iscrizione cristiana con graffito da Aquileia al Museo Civico di Rovereto.","StTrentStor","60","1981","13-18","","1982, 0387.","","","","Imhoff","2004-10-13"
"B000207","J","Buora, M.","Il territorio di Fagagna in epoca romana e medioevale.","AN","52","1981","178-202","","1982, 0390.","","","","Admin","2002-04-26"
"B000208","N","Palmieri, R.","Un apparitor ed arti e mestiari.","In: G. Barbieri (Hrsg.), Il lapidario Zeri di Mentana.","","1982","109-123","Roma","1983, 0060; 1983, 0061; 1983, 0062; 1983, 0063; 1983, 0064; 1983, 0065; 1982, 0138.","","","","Gräf","2004-11-26"
"B000209","N","Burnand, Y.","Circonscription de Lorraine.","Gallia","40","1982","323-345","","1982, 0713.","","","","Admin","2002-04-26"
"B000210","N","Burnand, Y.","La documentation épigraphique sur la construction architecturale dans les ""cités"" gallo-romaines des Leuques et des Médiomatriques.","In: Y. Burnand, Études d'architecture gallo-romaine.","","1983","13-37","Nancy","1983, 0705; 1983, 0714; 1982, 0716.","1974, 0428.","13, 05940.","CIMRM 1376.","Gräf","2017-08-23"
"B000211","N","Burnand, Y.","La documentation épigraphique sur les aqueducs de la Gaule et de la Germanie romaines.","In: Mélanges de littérature et d'épigraphie latines, d'histoire ancienne et d'archéologie. Hommage à la mémoire de Pierre Wuilleumier.","","1980","45-68","Paris","1983, 0705; 1983, 0651.","","","","Imhoff","2004-10-15"
"B000212","N","Burstein, S.M.","Two inscribed bronze dedications in the J. Paul Getty Museum.","GettyMusJ","9","1981","99-100","","1984, 0896.","","","","Feraudi","2019-12-30"
"B000213","N","Buttrey, T.V.","The dates of the arches of ""Diocletian'' and Constantine.","Historia","32","1983","375-383","","1983, 0018.","","","","Imhoff","2004-10-13"
"B000214","N","Caamaño Gesto, J.M.","Nueva estela romana de Troitosende. A Baña - Coruña.","Brigantium","2","1981","267-272","","1983, 0588.","","","","Grimmig","2004-09-15"
"B000215","N","Caamaño Gesto, J.M.","Excavaciones en el Campamento Romano de Cidadela. Sobrado dos Monxes, Coruña. Memoria preliminar de la campaña de 1981.","NotAHisp","18","1984","233-254","","1984, 0548; 1984, 0549; 1984, 0550; 1984, 0551.","","","","Imhoff","2004-10-13"
